"","type","DBA","BORO","address","zip_code","latitude","longitude","categories","PHONE","INSPECTION.DATE","INSPECTION.RESULT","review_count","rating","price"
"1","restaurant","#1 Chinese Restaurant","Manhattan","825 W 181ST ST",10033,40.8513816,-73.9394706,"Chinese","2127403188",2019-03-12,"A11/C",116,3.5,"$"
"2","restaurant","#1 GARDEN CHINESE RESTAURANT","Brooklyn","221 PROSPECT PARK W",11215,40.660046,-73.980313,"Chinese","9172508950",2019-07-25,"B19/C",55,3.5,"$"
"3","restaurant","& PIZZA","Manhattan","15 W 28TH ST",10001,40.74519,-73.98824,"Sushi Bars","2127790185",2019-04-01,"-NA/NC",645,4.5,"$$"
"4","restaurant","108 DOUBLE CHINESE RESTAURANT","Queens","5316 108TH ST",11368,40.74218,-73.85458,"Chinese","7187601021",2019-01-23,"A9/C",12,3.5,"$"
"5","restaurant","108 FOOD DRIED HOT POT","Manhattan","2794 BROADWAY",10025,40.80271,-73.96738,"Hot Pot","9176756878",2019-05-23,"A7/NC",119,3.5,"$$"
"6","restaurant","1080 BREW","Queens","1080 WYCKOFF AVE",11385,40.6943930345841,-73.902355909787,"Bars","3474849220",2019-07-22,"-NA/NC",23,4.5,"$$"
"7","restaurant","11 HANOVER GREEK","Manhattan","11 HANOVER SQ",10005,40.705264,-74.008854,"Greek","2127854000",2019-02-28,"A12/C",90,4,"$$$"
"8","restaurant","11 HOWARD KITCHEN","Manhattan","138 LAFAYETTE ST",10013,40.71909,-74.00013,"French","6469371256",2019-01-08,"A7/C",440,4,"$$$$"
"9","restaurant","118 KITCHEN","Manhattan","1 E 118TH ST",10035,40.80195,-73.94517,"Tex-Mex","2127226888",2019-05-09,"A11/NC",37,4,"$"
"10","restaurant","141 EL KUCHO MEXICAN RESTAURANT","Brooklyn","141 WILSON AVE",11237,40.70073,-73.92551,"Mexican","9179665124",2019-04-23,"A8/NC",177,4,"$"
"11","restaurant","18 HIPOT","Brooklyn","8204 18TH AVE",11214,40.609392,-74.000422,"Hot Pot","9179334888",2019-08-24,"A12/C",122,3.5,"$$"
"12","restaurant","19 CAFE","Brooklyn","84 MANHATTAN AVE",11206,40.70515,-73.9444199,"Coffee & Tea","7183878777",2019-09-06,"A13/C",98,4.5,"$"
"13","restaurant","1973","Manhattan","220 E 42ND ST",10017,40.74998,-73.973,"Shanghainese","3474613000",1900-01-01,"-NA/NA",220,4,"$$"
"14","restaurant","1LITTLE","Queens","3702 MAIN ST",11354,40.7612342834473,-73.8315124511719,"Korean","6462337785",2019-09-16,"Z67/NC",10,4,"$"
"15","restaurant","212 STEAKHOUSE","Manhattan","316 E 53RD ST",10022,40.75634,-73.966489,"Steakhouses","2128580646",2019-09-18,"-27/C",587,4,"$$$"
"16","restaurant","22 THAI CUISINE","Manhattan","59 NASSAU ST",10038,40.70925,-74.0088,"Thai","2127329250",2019-01-24,"A7/NC",155,2.5,"$"
"17","restaurant","2234 GREAT WALL INC","Manhattan","2234 1ST AVE",10029,40.795074,-73.935684,"Chinese","2124264888",1900-01-01,"-NA/NA",12,4,"$"
"18","restaurant","2234 GREAT WALL INC","Manhattan","2234 1ST AVE",10029,40.795074,-73.935684,"Chinese","2124264888",1900-01-01,"-NA/NA",12,4,"$"
