name,year,director,address,lat,lon,borough,nbhd,imdb,type
Annie Hall,1977,Woody Allen,Coney Island<br>Brooklyn,40.57360922,-73.97596836,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0075686/,Films
Blue in the Face,1995,"Paul Auster,Wayne Wang",Prospect Park West and 16th St.<br>Windsor Terrace<br>Brooklyn,40.65749448,-73.97406936,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0112541/,Films
Clockers,1995,Spike Lee,Gowanus Houses<br>Brooklyn,40.6841528,-73.98804903,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0112688/,Films
Crooklyn,1994,Spike Lee,Stuyvesant Ave. and Macon St.<br>Brooklyn,40.6831114,-73.93205523,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0109504/,Films
Death Wish,1974,Michael Winner,Subway Station near Court St.<br>Brooklyn,40.6938,-73.9904,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0071402/,Films
Do the Right Thing,1989,Spike Lee,Stuyvesant Ave.<br>Bedford-Stuyvesant<br>Brooklyn,40.68931072,-73.93328905,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0097216/,Films
Dog Day Afternoon,1972,Sidney Lumet,Prospect Park South and 16th St.<br>Brooklyn,40.6572503,-73.97421956,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0072890/,Films
Hudson Hawk,1991,Michael Lehmann,Brooklyn Bridge,40.70310659,-73.99318814,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0102070/,Films
Jungle Fever,1991,Spike Lee,Bensonhurst<br>Brooklyn,40.6019,-73.9938,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0102175/,Films
Little Fugitive,1953,"Morris Engel,Ruth Orkin,(more)",Coney Island<br>Brooklyn,40.57463602,-73.98080707,Brooklyn,Brooklyn,http://imdb.com/title/tt0046004/,Films
LUV,1967,Clive Donner,Manhattan Bridge<br>Brooklyn,40.70507488,-73.98961008,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0061927/,Films
Mo' Better Blues,1990,Spike Lee,Brooklyn Bridge,40.70645752,-73.99727583,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0100168/,Films
Requiem for a Dream,2000,Darren Aronofsky,Coney Island Boardwalk<br>Brooklyn,40.57223197,-73.98395598,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0180093/,Films
Saturday Night Fever,1977,John Badham,4th Ave. and 86th St.<br>Bay Ridge<br>Brooklyn,40.6228,-74.0284,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0076666/,Films
Saturday Night Fever,1977,John Badham,Subway Car<br>Brooklyn,40.6260702,-73.9970237,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0076666/,Films
Serpico,1973,Sidney Lumet,"Williamsburg Tenaments<br>Brooklyn
",40.70757988,-73.96520197,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0070666/,Films
Smoke,1995,Wayne Wang,Prospect Park and 16th St.<br>Windsor Terrace<br>Brooklyn,40.65725844,-73.97461116,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0114478/,Films
Sophie's Choice,1982,Alan J. Pakula,101 Rugby Rd.<br>Brooklyn,40.647334,-73.966373,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0084707/,Films
Sweet November,1968,Robert Ellis Miller,Remsen St. and Montague Terrace<br>Brooklyn Heights<br>Brooklyn,40.695,-73.9977,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0063661/,Films
The French Connection,1971,William Friedkin,Bay 50th St. Station<br>Brooklyn,40.58860227,-73.9837575,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0067116/,Films
The Honeymooners,1955-1956,Frank Satenstein,358 Chauncy St.<br>Bensonhurst<br>Brooklyn,40.681501,-73.918753,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0042114/,Films
The Landlord,1970,Hal Ashby,51 Prospect Pl.<br>Brooklyn,40.67962098,-73.9760381,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0065963/,Films
The Landlord,1970,Hal Ashby,51 Prospect Pl.<br>Brooklyn,40.679728,-73.975974,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0065963/,Films
The Naked City,1948,Jules Dassin,Williamsburg Bridge<br>Brooklyn,40.71132094,-73.96457434,Brooklyn,Brooklyn,http://imdb.com/title/tt0040636/,Films
The Pickle ,1993,Paul Mazursky,Brighton Beach Boardwalk<br>Brooklyn,40.57488865,-73.96376431,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0107824/,Films
The Siege,1998,Edward Zwick,Greenpoint<br>Brooklyn,40.73025075,-73.95436049,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0133952/,Films
The Sopranos,1999-2007,"David Chase,(more)","Empire Stores Park<br>Brooklyn Bridge
",40.704089,-73.993617,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0141842/,Films
The Taking of Pelham One Two Three,1974,Joseph Sargent,Subway near Court St.<br>Brooklyn,40.69307721,-73.9907366,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0072251/,Films
The Warriors,1979,Walter Hill,Astroland<br>Coney Island <br>Brooklyn,40.57464417,-73.97885978,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0080120/,Films
The Warriors,1979,Walter Hill,Subway Car<br>Coney Island<br>Brooklyn,40.5757606,-73.98127377,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0080120/,Films
Uptown Girls,2003,Boaz Yakin,Astroland<br>Coney Island <br>Brooklyn,40.57402483,-73.97888124,Brooklyn,Brooklyn,http://www.imdb.com/title/tt0263757/,Films
