type,name,borough,address,zipcode,lat,lon,categories,tel,review_count,rating,price,inspection.date,inspection.result
Restaurants,#1 Chinese Restaurant,Manhattan,825 W 181ST ST,10033,40.8513816,-73.9394706,Chinese,2127403188,116,3.5,$,2019-03-12,A11/C
Restaurants,#1 GARDEN CHINESE RESTAURANT,Brooklyn,221 PROSPECT PARK W,11215,40.660046,-73.980313,Chinese,9172508950,55,3.5,$,2019-07-25,B19/C
Restaurants,& PIZZA,Manhattan,15 W 28TH ST,10001,40.74519,-73.98824,Sushi Bars,2127790185,645,4.5,$$,2019-04-01,-NA/NC
Restaurants,108 DOUBLE CHINESE RESTAURANT,Queens,5316 108TH ST,11368,40.74218,-73.85458,Chinese,7187601021,12,3.5,$,2019-01-23,A9/C
Restaurants,108 FOOD DRIED HOT POT,Manhattan,2794 BROADWAY,10025,40.80271,-73.96738,Hot Pot,9176756878,119,3.5,$$,2019-05-23,A7/NC
Restaurants,1080 BREW,Queens,1080 WYCKOFF AVE,11385,40.6943930345841,-73.902355909787,Bars,3474849220,23,4.5,$$,2019-07-22,-NA/NC
Restaurants,11 HANOVER GREEK,Manhattan,11 HANOVER SQ,10005,40.705264,-74.008854,Greek,2127854000,90,4,$$$,2019-02-28,A12/C
Restaurants,11 HOWARD KITCHEN,Manhattan,138 LAFAYETTE ST,10013,40.71909,-74.00013,French,6469371256,440,4,$$$$,2019-01-08,A7/C
Restaurants,118 KITCHEN,Manhattan,1 E 118TH ST,10035,40.80195,-73.94517,Tex-Mex,2127226888,37,4,$,2019-05-09,A11/NC
Restaurants,141 EL KUCHO MEXICAN RESTAURANT,Brooklyn,141 WILSON AVE,11237,40.70073,-73.92551,Mexican,9179665124,177,4,$,2019-04-23,A8/NC
Restaurants,18 HIPOT,Brooklyn,8204 18TH AVE,11214,40.609392,-74.000422,Hot Pot,9179334888,122,3.5,$$,2019-08-24,A12/C
