"","id","Latitude.max","lat_min.Latitude.min","long_max.Longitude.max","long_min.Longitude.min","rating","price"
"1","101",40.72658765,40.6829252,-73.99919596,-74.04773109,3.58,"$$$"
"2","102",40.74242485,40.7162399,-73.98986997,-74.01517229,3.95,"$$$"
"3","103",40.73444305,40.70795563,-73.97162841,-74.00147285,4,"$$"
"4","104",40.77409446,40.73736915,-73.98142825,-74.01214958,3.76,"$$"
"5","105",40.76788947,40.73397366,-73.96818832,-73.99710048,3.69,"$$"
"6","106",40.76223509,40.72663671,-73.95749488,-73.98878076,3.69,"$$"
"7","107",40.80579842,40.7683984,-73.95817441,-73.99393839,3.67,"$$$"
"8","108",40.7879222,40.74960922,-73.93552306,-73.97301631,3.83,"$$"
"9","109",40.83446757,40.8011647,-73.93962713,-73.9711091,3.77,"$$"
"10","110",40.8361184,40.79688027,-73.93380163,-73.95964829,3.78,"$$"
"11","111",40.81835804,40.78092859,-73.91378528,-73.9557788,3.79,"$$"
"12","112",40.87762977,40.83038027,-73.91042787,-73.95015665,3.69,"$"
"13","164",40.80059082,40.76428715,-73.94923471,-73.98168088,3.75,"$$"
