DBA,BORO,address,zip_code,lat,lon,categories,PHONE,INSPECTION.DATE,INSPECTION.RESULT,review_count,rating,price
#1 Chinese Restaurant,Manhattan,825 W 181ST ST,10033,40.8513816,-73.9394706,Chinese,2127403188,3/12/19,A11/C,116,3.5,$
#1 GARDEN CHINESE RESTAURANT,Brooklyn,221 PROSPECT PARK W,11215,40.660046,-73.980313,Chinese,9172508950,7/25/19,B19/C,55,3.5,$
& PIZZA,Manhattan,15 W 28TH ST,10001,40.74519,-73.98824,Sushi Bars,2127790185,4/1/19,#NAME?,645,4.5,$$
108 DOUBLE CHINESE RESTAURANT,Queens,5316 108TH ST,11368,40.74218,-73.85458,Chinese,7187601021,1/23/19,A9/C,12,3.5,$
108 FOOD DRIED HOT POT,Manhattan,2794 BROADWAY,10025,40.80271,-73.96738,Hot Pot,9176756878,5/23/19,A7/NC,119,3.5,$$
1080 BREW,Queens,1080 WYCKOFF AVE,11385,40.69439303,-73.90235591,Bars,3474849220,7/22/19,#NAME?,23,4.5,$$
11 HANOVER GREEK,Manhattan,11 HANOVER SQ,10005,40.705264,-74.008854,Greek,2127854000,2/28/19,A12/C,90,4,$$$
11 HOWARD KITCHEN,Manhattan,138 LAFAYETTE ST,10013,40.71909,-74.00013,French,6469371256,1/8/19,A7/C,440,4,$$$$
118 KITCHEN,Manhattan,1 E 118TH ST,10035,40.80195,-73.94517,Tex-Mex,2127226888,5/9/19,A11/NC,37,4,$
141 EL KUCHO MEXICAN RESTAURANT,Brooklyn,141 WILSON AVE,11237,40.70073,-73.92551,Mexican,9179665124,4/23/19,A8/NC,177,4,$
18 HIPOT,Brooklyn,8204 18TH AVE,11214,40.609392,-74.000422,Hot Pot,9179334888,8/24/19,A12/C,122,3.5,$$
19 CAFE,Brooklyn,84 MANHATTAN AVE,11206,40.70515,-73.9444199,Coffee & Tea,7183878777,9/6/19,A13/C,98,4.5,$
1973,Manhattan,220 E 42ND ST,10017,40.74998,-73.973,Shanghainese,3474613000,1/1/00,#NAME?,220,4,$$
1LITTLE,Queens,3702 MAIN ST,11354,40.76123428,-73.83151245,Korean,6462337785,9/16/19,Z67/NC,10,4,$
