,Type,Name,Year,Director,Address,Lat,Lon,Borough,Number_of_Complaints,Style,Material,Use,Nbhd,Imdb,Tel,Url,System,Categories,Phone,Rating,Price,Zip_code
1,landmarks,140-154 W. 72 REALTY,1920,,140 WEST 72 STREET,40.77797454,-73.98015085,Manhattan,13,Queen Anne,Brownstone,"Mixed-use, commercial & residential",,,,,NA,NA,NA,NA,NA,NA
2,landmarks,THOMAS STREET LLC,1900,,90 GRAND STREET,40.72172475,-74.00206038,Manhattan,8,French,Stone,"Commercial, store and warehouse",,,,,NA,NA,NA,NA,NA,NA
3,landmarks,"NAHAR, KAMRUN",1930,,35-16 87 STREET,40.751604,-73.879924,Queens,8,neo-Tudor,Brick,"Outbuilding, garage",,,,,NA,NA,NA,NA,NA,NA
4,landmarks,GROVE EQUITIES,1900,,43 GROVE STREET,40.732829,-74.004272,Manhattan,7,neo-Grec,Flemish-Bond Brick,"Residential, single-family",,,,,NA,NA,NA,NA,NA,NA
5,landmarks,FAIR INTERIORS INC,1922,,37-55 82 STREET,40.749391,-73.884237,Queens,7,neo-Georgian,Brick,Commercial,,,,,NA,NA,NA,NA,NA,NA
6,landmarks,"CHELSEA SQUARE, LLC",1910,,436 WEST 20 STREET,40.745101,-74.003854,Manhattan,6,Italianate,Brick,Residential,,,,,NA,NA,NA,NA,NA,NA
7,landmarks,"CASTRO, PASTORA",1899,,109 NOBLE STREET,40.728583,-73.956181,Brooklyn,5,neo-Grec,Wood Frame,Residential,,,,,NA,NA,NA,NA,NA,NA
8,landmarks,177 WEST 83 ST HSG ET,1900,,177 WEST 83 STREET,40.785645,-73.9760412,Manhattan,5,neo-Grec,Brick,"Residential, multi-family",,,,,NA,NA,NA,NA,NA,NA
9,landmarks,70 LEFFERTS LLC,1899,,70 LEFFERTS PLACE,40.681257,-73.960614,Brooklyn,5,Italianate,Wood Clapboard,"Residential, single family",,,,,NA,NA,NA,NA,NA,NA
10,landmarks,"WILLIAMS, THEODORE S",1931,,384 VANDERBILT AVENUE,40.685709,-73.968364,Brooklyn,5,neo-Grec,Brownstone,Residential,,,,,NA,NA,NA,NA,NA,NA
11,landmarks,18 20 PARK 84TH CORP,1910,,20 EAST 84 STREET,40.7798298,-73.9604648,Manhattan,5,neo-Federal,Flemish-Bond Brick,"Residential, single-family",,,,,NA,NA,NA,NA,NA,NA
12,landmarks,233 BLEECKER STREET L,1920,,15 CARMINE STREET,40.7304748,-74.0025464,Manhattan,5,Italianate,Wood Frame,"Mixed-use, commercial & residential",,,,,NA,NA,NA,NA,NA,NA
13,landmarks,18 20 PARK 84TH CORP,1910,,20 EAST 84 STREET,40.7798298,-73.9604648,Manhattan,5,neo-Federal,Flemish-Bond Brick,"Residential, single-family",,,,,NA,NA,NA,NA,NA,NA
