x,borough,zipcode,address,ownername,yearbuilt,style_sec,mat_prim,use_orig,lat,lon,complaints.count.freq,type,name
3864,Manhattan,10024,121 WEST 85 STREET,"MARRON, MARTIN GUILLE",1899,Renaissance Revival,Brownstone,Residential,40.786162,-73.973498,1,Landmarks,121 WEST 85 STREET
6221,Brooklyn,11201,417 HICKS STREET,,1996,Romanesque Revival,Brick,"Residential, multi-family",40.6879773333333,-73.9990913333333,3,Landmarks,417 HICKS STREET
9250,Queens,11372,34-22 88 STREET,FRANCIS IRACE,1935,neo-Georgian,Red Brick,"Outbuilding, garage",40.75353,-73.879325,1,Landmarks,34-22 88 STREET
3160,Manhattan,10023,72 WEST 69 STREET,TUJUNGA GARDENS LIMIT,1910,Romanesque Revival,Brick,"Residential, multi-family",40.775067,-73.979247,1,Landmarks,72 WEST 69 STREET
9211,Queens,11372,34-25 84 STREET,MR & MRS B C BLANEY,1930,neo-Georgian,Red Brick,Residential,40.753051,-73.883004,1,Landmarks,34-25 84 STREET
9330,Queens,11372,35-22 88 STREET,RODRIGUEZ RAYMOND,1925,neo-Georgian,Brick,Residential,40.751592,-73.878971,1,Landmarks,35-22 88 STREET
6956,Brooklyn,11215,632 11 STREET,OWNER / AGENT,1931,Neoclassical,Stone,"Residential, multi-family",40.663714,-73.978514,1,Landmarks,632 11 STREET
6760,Brooklyn,11215,177 8 AVENUE,CONG BETH ELOHIM,1931,Art Deco,Cast Stone,"Religious, synagogue",40.670905,-73.974157,1,Landmarks,177 8 AVENUE
648,Manhattan,10003,67 2 AVENUE,"G & L ROYALTY, INC.",1920,neo-Grec alterations,Brick,Residential,40.726316,-73.989754,1,Landmarks,67 2 AVENUE
3173,Manhattan,10023,24 WEST 70 STREET,24 WEST 70TH ST. APT.,1910,Romanesque,Brownstone,Residential,40.775275,-73.977795,2,Landmarks,24 WEST 70 STREET
2945,Manhattan,10010,922 BROADWAY,BROADWAY 922 ENTERPRI,1925,Second Empire,Brick,Residential,40.739974,-73.989542,1,Landmarks,922 BROADWAY
